id,name,brand,barcode,category,serving_size,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,is_verified,created_by,created_at,name_tr,category_tr
00021ad5-b5dd-49c1-8e23-d785b94f3471,Turkey Polska Kielbasa,Hillshire Farm,44500341720,protein,1 portion (56 g),179,14.3,5.4,10.7,1.8,1.8,643.0,true,,2026-02-14 19:34:01.865748+00,Hindi Polonya Sosisi,protein
00028f29-dee4-4c54-a8b6-655322e25684,Benco,Benco,3700278406241,snacks,100g,361,5.5,73.0,2.7,13.0,50.0,88.0,true,,2026-02-14 19:44:16.000314+00,Benco,atıştırmalıklar
000909a6-c697-4e14-ae54-aa5f59f73ead,Mascarpone,Sainsburys,1305098,dairy,60g,687,6.0,8.2,70.0,0.8,7.7,86.7,true,,2026-02-14 19:36:38.434398+00,Mascarpone,günlük
000a0b03-e6eb-4c95-a11b-87287ea95630,pasta,By sainsbury's,1277708,grains,1 portion (200 g),156,5.3,29.5,1.2,5.3,1.3,1.9,true,,2026-02-14 19:38:35.512292+00,makarna,tahıllar
000c0390-7968-4c72-b814-7c1ba43082cb,Nuts'n Berries,Seeberger,4008258051030,snacks,50 g,479,11.0,44.0,27.0,,36.0,8.0,true,,2026-02-14 19:21:59.889393+00,Fındık ve Meyveler,atıştırmalıklar
000e2e95-58db-4b75-bbc1-82c078708ff3,Kong Strong Wild Power Energy Drink Classic,"Kong Strong, Lidl",4056489005568,beverages,250 ml,20,0.4,4.1,0.1,0.0,4.1,76.0,true,,2026-02-14 19:22:53.051199+00,Kong Strong Wild Power Enerji İçeceği Klasik,içecekler
000f7005-ee65-4534-9733-599ab6398e5d,Jogurtas,Pieno žvaigždės,4770265214165,dairy,100 g,88,9.0,4.2,3.9,,3.6,129.5,true,,2026-02-14 19:37:43.332543+00,Yoğurt,günlük
00174d0e-79cd-46b5-b88a-d3c527d3b80a,"Gratin d'Endives Jambon Supérieur, Emmental",Fleury Michon,3302740059995,protein,280 g,106,6.9,3.3,7.1,0.8,2.0,240.0,true,,2026-02-14 19:34:18.019637+00,"Hindiba Grateni, Kaliteli Jambon ve Emmental Peyniri ile",protein
00189c67-3dc2-4693-a9c4-2984a8a1b9e0,Petit beurre tablette chocolat noir 150g,U,3256220212052,snacks,2 biscuits soit environ 25 g (Ce paquet contient 1,498,6.5,63.0,24.0,4.2,34.0,200.0,true,,2026-02-14 19:28:09.609827+00,Petit beurre bitter çikolata 150gr,atıştırmalıklar
001b0951-1251-47f0-b855-b5f7731e092f,100% Angus Beef Burgers Patties,Compliments,55742577143,protein,1 burger (142 g),254,14.1,5.6,19.7,0.7,0.7,359.0,true,,2026-02-14 19:32:06.003525+00,%100 Angus Sığır Etinden Burger Köftesi,protein
00260171-e548-48ee-a3a8-bcf867bdf52a,Seeded Sourdough Flatbreads,Peter's Yard,5060198820717,snacks,1 flatbread (9 g),422,13.3,60.0,12.2,8.9,4.4,878.0,true,,2026-02-14 19:38:11.41268+00,Çekirdekli Ekşi Mayalı Yassı Ekmekler,atıştırmalıklar
002d4de1-83b7-4b5d-aaba-bfa81d32b9a1,Beurre moulé doux,"Charrier, Simplement Bon et Bio",26016825,dairy,100g,745,0.7,1.0,82.0,0.0,0.5,20.0,true,,2026-02-14 19:25:11.042566+00,Yumuşak kalıplanmış tereyağı,günlük
002eac1f-64d5-4721-97cc-5d37c26e4fce,"Dressing, sweet vinegar & olive oil",Giant Eagle,3003408397,other,2 Tbsp (30 ml),233,0.0,53.3,0.0,0.0,53.3,2000.0,true,,2026-02-14 19:28:20.277171+00,"Salata sosu, tatlı sirke ve zeytinyağı",diğer
00344a3a-a9d2-4fa4-adb2-1ba34a2d4860,Томаты Протёртые,Mutti,8005110004766,vegetables,500 g,36,1.6,5.1,0.5,,4.5,197.0,true,,2026-02-14 19:22:03.687404+00,Domates Püresi,sebze
00346a1a-d4ff-470d-b110-92409f75dc32,Bruschette Chips Pizza Flavour,Maretti,3800205871255,snacks,1 portion (70 g),453,9.1,71.0,14.0,3.3,5.5,1000.0,true,,2026-02-14 19:45:08.671078+00,Bruschetta Cipsleri Pizza Aromalı,atıştırmalıklar
0034a0f1-1178-406a-a7da-ad9a21ae28b6,"Brookshire's, candy gem chocolate chip cookies","Brookshire's,  Brookshire Grocery Company",92825111535,snacks,2 COOKIES (33 g),515,3.0,63.6,27.3,3.0,30.3,303.0,true,,2026-02-14 19:23:17.544346+00,"Brookshire's, şekerlemeli çikolatalı kurabiyeler",atıştırmalıklar
003a4791-c618-4bf3-874c-cbd41c7e8bfe,Total 0% with honey,FAGE,5201054024546,dairy,100g,104,8.1,18.0,0.0,,18.0,32.0,true,,2026-02-14 19:37:24.58444+00,Bal ile toplam %0,günlük
